Id,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,SalePrice
164,0,0,1,0,1,1,103200
165,0,0,2,0,3,1,152000
166,1,0,2,0,4,2,127500
167,1,0,1,0,2,1,190000
168,1,0,1,1,3,1,325624
169,0,0,2,1,3,1,183500
170,0,0,2,1,2,1,228000
171,0,0,1,1,2,1,128500
172,1,0,1,0,3,1,215000
173,1,0,2,0,2,1,239000
174,1,0,1,1,3,1,163000
175,1,0,2,0,3,1,184000
176,1,0,2,0,4,1,243000
177,0,1,2,1,4,1,211000
178,1,0,2,0,4,1,172500
179,1,0,2,0,1,1,501837
180,0,0,1,0,2,1,100000
181,0,0,2,1,3,1,177000
182,0,0,1,1,4,1,200100
183,0,0,1,0,3,1,120000
184,0,0,2,1,3,1,200000
185,0,0,1,0,3,1,127000
186,0,0,2,1,4,1,475000
187,1,0,2,0,3,1,173000
188,0,0,2,1,3,1,135000
189,2,0,0,2,2,2,153337
190,1,0,1,1,0,1,286000
191,0,0,2,1,3,1,315000
192,1,0,1,1,4,1,184000
193,1,0,2,0,3,1,192000
194,0,0,2,0,3,1,130000
195,0,0,1,0,3,1,127000
196,0,0,2,1,3,1,148500
197,1,0,2,0,3,1,311872
198,1,1,2,0,4,1,235000
199,0,0,1,0,5,1,104000
200,1,0,2,0,3,1,274900
201,0,0,2,0,2,1,140000
202,0,1,2,0,3,1,171500
203,0,0,2,0,2,1,112000
204,1,0,1,0,1,1,149000
205,0,0,1,1,2,1,110000
206,0,0,2,0,3,1,180500
207,0,0,1,1,3,1,143900
208,1,0,1,0,3,1,141000
209,1,0,2,1,3,1,277000
210,1,0,1,0,3,1,145000
211,1,0,1,0,2,1,98000
212,0,0,2,0,3,1,186000
213,1,0,2,1,3,1,252678
214,0,1,1,0,3,1,156000
215,0,0,1,1,3,1,161750
216,0,1,1,0,2,1,134450
217,1,0,2,0,3,1,210000
218,0,0,1,0,3,1,107000
219,0,1,1,1,3,1,311500
220,0,0,2,0,2,1,167240
221,0,0,2,0,2,1,204900
222,0,0,2,1,4,1,200000
223,1,0,2,1,3,1,179900
224,0,0,1,0,2,1,97000
225,0,0,2,0,3,1,386250
226,0,0,2,1,3,1,112000
227,0,0,2,1,4,1,290000
228,0,0,1,1,2,1,106000
229,0,0,1,0,3,1,125000
230,0,0,2,0,2,1,192500
231,1,0,1,0,3,1,148000
232,1,0,2,1,4,1,403000
233,0,0,1,1,2,1,94500
234,1,0,1,0,3,1,128200
235,1,0,2,1,4,1,216500
236,0,0,1,1,2,1,89500
237,0,0,2,0,3,1,185500
238,0,0,2,1,3,1,194500
239,0,0,2,0,3,1,318000
240,0,0,1,1,3,1,113000
241,1,0,2,0,3,1,262500
242,0,0,1,0,2,1,110500
243,0,0,1,0,3,1,79000
244,0,0,1,1,3,1,120000
245,1,0,2,1,3,1,205000
246,0,1,2,0,3,1,241500
247,0,0,2,0,4,2,137000
248,0,0,1,0,2,1,140000
249,0,0,2,1,3,1,180000
250,0,1,2,0,4,1,277000
251,0,0,1,0,3,1,76500
252,1,1,2,0,2,1,235000
253,0,0,2,1,3,1,173000
254,0,1,2,0,3,1,158000
255,1,0,1,0,3,1,145000
256,0,0,2,1,4,1,230000
257,0,0,2,1,3,1,207500
258,1,0,2,1,3,1,220000
259,0,0,2,1,3,1,231500
260,0,0,1,0,2,1,97000
261,1,0,1,0,3,1,176000
262,0,0,2,1,3,1,276000
263,1,0,1,0,3,1,151000
264,1,0,1,0,3,1,130000
265,0,0,1,0,2,1,73000
266,0,0,2,0,3,1,175500
267,1,0,2,1,3,1,185000
268,0,0,2,1,4,1,179500
269,0,0,1,0,2,1,120500
270,1,0,1,1,3,1,148000
271,0,0,2,1,3,1,266000
272,1,0,1,0,2,1,241500
273,0,0,2,1,4,1,290000
274,1,0,2,0,3,1,139000
275,0,0,1,0,2,1,124500
276,0,0,2,1,3,1,205000
277,0,0,2,0,3,1,201000
278,0,0,1,0,2,1,141000
279,0,0,2,1,3,1,415298
280,0,0,2,1,4,1,192000
281,0,0,2,1,3,1,228500
282,0,0,2,0,2,1,185000
283,1,0,2,0,2,1,207500
284,0,0,2,0,3,1,244600
285,1,0,2,0,2,1,179200
286,0,0,2,1,2,1,164700
287,0,0,1,1,3,1,159000
288,0,0,1,0,3,1,88000
289,0,0,1,0,3,1,122000
290,0,0,1,0,3,1,153575
291,0,0,2,1,3,1,233230
292,1,0,2,0,6,1,135900
293,0,0,1,1,3,1,131000
294,1,0,2,1,3,1,235000
295,1,0,1,0,3,1,167000
296,1,0,1,0,3,1,142500
297,0,0,1,1,4,1,152000
298,0,0,2,1,3,1,239000
299,0,1,1,2,3,1,175000
300,0,1,1,0,3,1,158500
301,1,0,1,0,2,1,157000
302,0,0,2,1,4,1,267000
303,0,0,2,0,3,1,205000
304,1,0,1,0,3,1,149900
305,0,0,3,0,3,1,295000
306,1,0,2,0,3,1,305900
307,1,0,2,1,4,1,225000
308,0,0,1,0,3,1,89500
309,0,0,1,0,1,1,82500
310,1,0,2,0,3,1,360000
311,0,0,2,1,3,1,165600
312,1,0,1,0,2,1,132000
313,1,0,1,0,3,1,119900
314,2,0,2,0,3,1,375000
315,0,1,1,1,3,1,178000
316,1,0,2,1,3,1,188500
317,1,0,2,1,4,1,260000
318,0,0,2,1,3,1,270000
319,1,0,2,1,4,1,260000
320,1,0,2,0,3,1,187500
321,0,0,3,1,4,1,342643
322,1,0,2,1,4,1,354000
323,1,0,2,1,4,1,301000
324,1,0,1,0,3,1,126175
325,0,0,2,1,5,1,242000
326,0,0,1,0,2,1,87000
327,2,0,1,1,1,1,324000
328,0,0,1,1,3,1,145250
329,0,0,2,0,5,1,214500
330,0,0,1,0,3,1,78000
331,0,1,2,0,6,2,119000
332,1,0,1,0,3,1,139000
333,1,0,2,0,3,1,284000
334,1,0,2,0,2,1,207000
335,1,0,2,1,3,1,192000
336,2,0,2,0,3,1,228950
337,1,0,2,0,3,1,377426
338,1,0,2,0,3,1,214000
339,1,0,2,0,3,1,202500
340,0,0,1,0,3,1,155000
341,0,0,2,1,4,1,202900
342,0,0,1,0,2,1,82000
343,0,0,2,0,2,2,87500
344,0,0,2,0,2,1,266000
345,0,0,1,1,3,1,85000
346,0,0,1,0,3,1,140200
347,0,0,1,0,2,1,151500
348,1,0,2,0,3,1,157500
349,1,0,2,1,2,1,154000
350,1,0,2,1,4,1,437154
351,0,0,2,0,2,1,318061
352,1,0,1,1,2,1,190000
353,0,1,1,0,3,1,95000
354,0,0,1,0,2,1,105900
355,0,0,1,0,2,1,140000
356,1,0,2,0,3,1,177500
357,1,0,2,0,3,1,173000
358,1,0,1,1,3,1,134000
359,0,1,1,0,3,1,130000
360,1,0,2,1,3,1,280000
361,1,0,1,0,2,1,156000
362,1,0,1,0,3,1,145000
363,0,0,3,0,4,1,198500
364,0,0,1,1,2,1,118000
365,1,0,2,1,3,1,190000
366,0,0,1,0,3,1,147000
367,1,0,1,1,3,1,159000
368,0,1,1,0,3,1,165000
369,0,0,1,0,2,1,132000
370,1,0,1,0,3,1,162000
371,0,0,2,1,3,1,172400
372,0,0,2,0,4,1,134432
373,1,0,1,0,2,1,125000
374,1,0,1,0,3,1,123000
375,0,0,2,1,4,1,219500
376,1,0,0,1,1,1,61000
377,0,0,1,0,2,1,148000
378,0,0,3,0,4,1,340000
379,1,0,1,1,1,1,394432
380,0,0,2,1,3,1,179000
381,0,0,2,0,3,1,127000
382,1,0,2,0,2,1,187750
383,0,0,2,1,3,1,213500
384,0,0,1,0,2,1,76000
385,1,0,2,1,3,1,240000
386,0,0,2,0,2,1,192000
387,0,0,1,0,5,1,81000
388,1,0,1,0,3,1,125000
389,0,0,2,0,3,1,191000
390,1,0,2,1,3,1,426000
391,1,0,1,0,4,1,119000
392,1,0,2,1,3,1,215000
393,0,0,1,0,3,1,106500
394,0,0,1,0,2,1,100000
395,0,0,1,0,2,1,109000
396,1,0,1,0,3,1,129000
397,0,0,1,0,2,1,123000
398,0,0,2,0,4,1,169500
399,0,0,1,0,2,1,67000
400,1,0,2,0,2,1,241000
401,1,0,1,1,1,1,245500
402,0,0,2,0,3,1,164990
403,0,0,1,0,2,1,108000
404,0,0,2,1,4,1,258000
405,0,0,2,1,3,1,168000
406,1,0,2,0,3,1,150000
407,0,0,1,0,3,1,115000
408,0,0,2,0,4,1,177000
409,0,0,2,1,3,1,280000
410,1,0,2,1,3,1,339750
411,0,0,1,0,3,1,60000
412,1,0,1,0,3,1,145000
413,1,0,2,1,2,1,222000
414,0,0,1,0,2,1,115000
415,0,1,2,1,3,1,228000
416,0,0,2,0,3,1,181134
417,0,0,1,1,3,1,149500
418,1,0,2,1,4,1,239000
419,1,0,1,1,3,1,126000
420,1,0,1,0,3,1,142000
421,2,0,2,0,2,2,206300
422,0,1,2,0,3,1,215000
423,0,0,1,0,2,1,113000
424,1,0,2,1,4,1,315000
425,1,0,1,0,2,1,139000
426,0,0,1,1,3,1,135000
427,1,1,2,0,2,1,275000
428,0,0,1,0,3,1,109008
429,1,0,2,0,2,1,195400
430,1,0,2,0,3,1,175000
431,0,0,1,1,2,1,85400
432,0,0,1,0,4,1,79900
433,1,0,1,1,2,1,122500
434,0,0,2,1,3,1,181000
435,1,0,1,0,1,1,81000
436,1,0,2,1,3,1,212000
437,0,0,1,0,2,1,116000
438,0,0,1,0,2,1,119000
439,0,0,1,0,2,1,90350
440,0,0,1,0,3,1,110000
441,1,0,2,0,2,1,555000
442,0,0,2,0,4,2,118000
443,0,0,2,0,3,1,162900
444,0,0,2,0,2,1,172500
445,1,0,2,1,4,1,210000
446,0,0,1,0,3,1,127500
447,0,0,2,1,2,1,190000
448,0,0,2,1,4,1,199900
449,0,0,2,0,3,1,119500
450,0,0,1,1,2,1,120000
451,0,0,1,0,2,1,110000
452,1,0,2,0,2,1,280000
453,1,0,2,1,3,1,204000
454,0,0,2,1,3,1,210000
455,2,0,2,0,4,2,188000
456,0,0,1,1,3,1,175500
457,0,0,1,0,4,1,98000
458,1,0,1,0,2,1,256000
459,0,0,1,0,3,1,161000
460,1,0,1,0,3,1,110000
461,1,0,2,1,3,1,263435
462,1,0,1,0,3,1,155000
463,0,0,1,0,3,1,62383
464,0,0,1,1,3,1,188700
465,0,0,2,0,3,1,124000
466,0,0,2,0,2,1,178740
467,1,0,1,0,2,1,167000
468,0,0,1,1,3,1,146500
469,0,0,2,0,3,1,250000
470,0,0,2,1,3,1,187000
471,1,0,1,1,1,1,212000
472,0,0,2,1,3,1,190000
473,1,0,1,0,2,1,148000
474,1,0,2,0,2,1,440000
475,1,0,2,0,2,1,251000
476,1,0,1,0,2,1,132500
477,1,0,2,0,3,1,208900
478,0,0,2,1,3,1,380000
479,1,0,2,0,3,1,297000
480,0,0,1,0,2,1,89471
481,1,0,2,0,3,1,326000
482,1,0,2,0,2,1,374000
483,1,0,1,1,4,1,155000
484,1,0,2,0,2,1,164000
485,1,0,1,0,3,1,132500
486,0,0,1,0,3,1,147000
487,1,0,1,1,3,1,156000
488,0,0,2,0,3,1,175000
489,0,0,2,0,3,2,160000
490,1,0,1,0,1,1,86000
491,0,0,1,1,3,1,115000
492,1,0,1,0,3,1,133000
493,0,0,2,1,3,1,172785
494,0,0,1,1,3,1,155000
495,0,0,1,0,2,1,91300
496,0,0,1,0,2,1,34900
497,1,0,3,0,4,1,430000
498,1,0,2,0,4,1,184000
499,0,0,1,0,3,1,130000
500,0,1,1,0,2,1,120000
501,0,0,1,1,3,1,113000
502,0,0,2,1,3,1,226700
503,1,0,1,0,2,1,140000
504,1,0,2,0,1,1,289000
505,0,1,2,1,3,1,147000
506,0,0,2,0,4,2,124500
507,0,0,2,1,3,1,215000
508,0,0,2,0,2,1,208300
509,0,0,2,0,3,1,161000
510,1,0,1,0,3,1,124500
511,1,0,1,0,2,1,164900
512,0,0,2,0,2,1,202665
513,1,0,1,0,3,1,129900
514,0,0,1,1,3,1,134000
515,0,0,1,0,2,1,96500
516,1,0,2,1,3,1,402861
517,0,0,2,1,3,1,158000
518,0,0,2,1,3,1,265000
519,1,0,2,1,3,1,211000
520,0,0,1,1,3,1,234000
521,0,0,2,0,3,2,106250
522,0,0,1,1,3,1,150000
523,0,0,2,0,3,1,159000
524,1,0,3,1,3,1,184750
525,1,0,2,1,3,1,315750
526,0,0,2,0,3,1,176000
527,0,0,1,0,2,1,132000
528,1,0,2,1,3,1,446261
529,1,0,1,0,2,1,86000
530,1,0,3,0,4,2,200624
531,1,0,2,0,3,1,175000
532,0,0,2,0,3,1,128000
533,0,0,1,0,2,1,107500
534,0,0,1,0,1,1,39300
535,0,0,2,1,3,1,178000
536,1,0,1,0,3,1,107500
537,0,0,2,1,3,1,188000
538,0,0,1,0,3,1,111250
539,0,0,1,1,3,1,158000
540,1,0,2,0,3,1,272000
541,1,0,2,0,2,1,315000
542,0,0,2,1,4,1,248000
543,1,0,2,0,3,1,213250
544,1,0,1,0,1,1,133000
545,1,0,2,1,3,1,179665
546,0,0,2,1,4,1,229000
547,0,0,1,1,3,1,210000
548,1,0,1,0,2,1,129500
549,1,0,1,0,2,1,125000
550,0,0,2,1,4,1,263000
551,0,0,2,0,2,1,140000
552,0,0,1,0,3,1,112500
553,0,0,2,0,3,1,255500
554,0,0,2,0,2,1,108000
555,1,0,2,1,3,1,284000
556,0,0,1,0,2,1,113000
557,1,0,1,0,2,1,141000
558,0,0,1,1,3,1,108000
559,0,1,2,1,3,1,175000
560,0,0,2,0,2,1,234000
561,1,0,1,1,3,1,121500
562,1,0,1,0,2,1,170000
563,1,0,1,0,3,1,108000
564,0,0,2,0,4,1,185000
565,1,0,2,1,4,1,268000
566,1,0,1,1,4,1,128000
567,0,0,2,1,4,1,325000
568,0,0,2,0,3,1,214000
569,1,0,1,1,1,1,316600
570,1,0,1,0,2,1,135960
571,0,0,2,0,6,2,142600
572,1,0,1,0,2,1,120000
573,0,0,2,1,3,1,224500
574,0,0,2,1,3,1,170000
575,0,1,1,0,3,1,139000
576,0,0,1,0,2,1,118500
577,0,1,2,0,3,1,145000
578,1,0,1,0,3,1,164500
579,0,0,2,0,2,1,146000
580,0,0,2,0,4,1,131500
581,0,1,1,0,3,1,181900
582,0,0,2,1,3,1,253293
583,1,0,1,0,3,1,118500
584,0,0,3,1,3,1,325000
585,0,0,1,0,3,1,133000
586,1,0,2,0,2,1,369900
587,1,0,1,0,2,1,130000
588,1,0,1,0,2,1,137000
589,2,0,1,0,1,1,143000
590,0,0,1,0,2,1,79500
591,0,0,2,1,3,1,185900
592,1,0,2,1,3,1,451950
593,1,0,1,0,2,1,138000
594,1,0,1,0,1,1,140000
595,0,0,1,0,3,1,110000
596,1,0,2,0,3,1,319000
597,0,0,1,0,3,1,114504
598,0,2,0,2,2,1,194201
599,1,0,2,0,3,1,217500
600,1,0,2,1,3,1,151000
601,1,0,2,1,3,1,275000
602,0,0,1,1,3,1,141000
603,1,0,2,1,3,1,220000
604,0,0,2,1,2,1,151000
605,1,0,2,0,3,1,221000
606,0,0,2,1,3,1,205000
607,1,0,1,0,3,1,152000
608,1,0,3,0,3,1,225000
609,0,0,2,1,4,1,359100
610,1,0,1,0,3,1,118500
611,1,0,2,1,3,1,313000
612,0,1,2,0,3,1,148000
613,1,0,2,1,3,1,261500
614,0,0,1,0,3,1,147000
615,1,0,1,0,1,1,75500
616,1,0,1,0,3,1,137500
617,1,0,2,1,3,1,183200
618,0,0,1,0,2,1,105500
619,0,0,2,0,3,1,314813
620,1,0,2,1,4,1,305000
621,1,0,1,0,2,1,67000
622,0,0,2,1,4,1,240000
623,0,0,1,0,3,1,135000
624,0,0,2,1,2,1,168500
625,1,0,1,2,4,1,165150
626,0,0,1,1,3,1,160000
627,0,0,1,0,3,1,139900
628,1,0,1,0,3,1,153000
629,0,1,1,2,5,1,135000
630,1,0,1,1,3,1,168500
631,0,0,1,0,3,1,124000
632,0,0,2,0,2,1,209500
633,0,0,2,0,3,1,82500
634,0,1,1,0,3,1,139400
635,2,0,0,0,0,2,144000
636,0,0,2,0,8,2,200000
637,0,0,1,0,1,1,60000
638,0,0,2,0,3,2,93000
639,0,0,1,0,2,1,85000
640,1,0,2,0,1,1,264561
641,0,0,1,1,1,1,274000
642,1,0,2,1,3,1,226000
643,1,0,2,1,4,1,345000
644,0,0,2,1,4,1,152000
645,1,0,2,1,2,1,370878
646,1,0,1,1,3,1,143250
647,0,0,1,0,3,1,98300
648,0,0,1,0,3,1,155000
649,0,0,1,1,4,1,155000
650,1,0,1,0,1,1,84500
651,0,0,2,1,3,1,205950
652,1,0,1,0,4,1,108000
653,0,0,2,1,2,1,191000
654,0,0,1,0,3,1,135000
655,1,0,2,1,2,1,350000
656,0,0,1,1,3,1,88000
657,1,0,1,1,3,1,145500
658,0,0,1,1,3,1,149000
659,0,1,1,0,3,1,97500
660,1,0,1,0,3,1,167000
661,0,0,2,1,3,1,197900
662,1,0,2,1,4,1,402000
663,1,0,1,0,2,1,110000
664,1,0,2,0,3,1,137500
665,1,0,1,1,1,1,423000
666,0,0,2,1,3,1,230500
667,0,0,2,1,3,1,129000
668,1,0,2,0,3,1,193500
669,1,0,1,1,3,1,168000
670,0,0,1,0,2,1,137500
671,1,0,2,1,3,1,173500
672,1,0,2,0,3,1,103600
673,1,0,1,1,3,1,165000
674,1,0,2,0,3,1,257500
675,1,0,1,0,3,1,140000
676,0,0,2,1,3,1,148500
677,1,0,2,0,4,2,87000
678,0,0,1,0,2,1,109500
679,0,0,2,1,3,1,372500
680,1,0,1,0,3,1,128500
681,0,0,2,0,2,1,143000
682,0,0,1,0,3,1,159434
683,1,0,1,0,2,1,173000
684,1,0,2,0,3,1,285000
685,0,0,2,1,4,1,221000
686,1,0,2,0,3,1,207500
687,0,0,3,0,3,1,227875
688,0,0,2,1,2,1,148800
689,1,0,2,0,2,1,392000
690,0,0,2,0,2,1,194700
691,1,0,1,0,1,1,141000
692,0,1,3,1,4,1,755000
693,1,0,2,1,4,1,335000
694,0,0,1,0,2,1,108480
695,0,0,1,1,3,1,141500
696,1,0,2,0,2,1,176000
697,0,0,1,0,2,1,89000
698,0,1,1,0,2,1,123500
699,1,0,1,0,3,1,138500
700,0,0,2,0,2,1,196000
701,1,0,2,0,3,1,312500
702,0,0,1,1,3,1,140000
703,0,0,2,1,4,1,361919
704,0,0,2,0,4,2,140000
705,1,0,2,0,3,1,213000
706,0,0,2,0,3,2,55000
707,1,0,2,0,2,1,302000
708,1,0,2,0,2,1,254000
709,0,0,2,1,3,1,179540
710,0,0,1,0,3,1,109900
711,0,0,1,0,2,1,52000
712,0,0,1,0,2,1,102776
713,1,0,2,0,2,1,189000
714,1,0,1,0,3,1,129000
715,0,0,2,1,3,1,130500
716,0,0,2,0,3,1,165000
717,0,0,1,1,3,1,159500
718,0,1,1,1,3,1,157000
719,1,0,2,1,3,1,341000
720,0,0,1,1,3,1,128500
721,1,0,2,0,2,1,275000
722,1,0,1,0,1,1,143000
723,0,0,1,0,3,1,124500
724,0,0,2,0,4,1,135000
725,1,0,2,0,3,1,320000
726,0,0,1,0,3,1,120500
727,1,0,2,0,3,1,222000
728,1,0,2,0,2,1,194500
729,1,0,2,0,4,2,110000
730,0,0,1,0,2,1,103000
731,1,0,2,0,2,1,236500
732,1,0,2,0,3,1,187500
733,0,0,2,1,3,1,222500
734,1,0,1,0,3,1,131400
735,0,0,1,0,3,1,108000
736,0,0,1,1,2,1,163000
737,0,0,2,0,2,2,93500
738,0,0,2,1,3,1,239900
739,3,0,3,0,3,1,179000
740,0,0,2,1,3,1,190000
741,0,0,2,0,2,1,132000
742,1,1,1,0,3,1,142000
743,0,0,2,0,3,1,179000
744,0,1,2,0,3,1,175000
745,1,0,2,0,2,1,180000
746,0,1,3,1,4,1,299800
747,0,0,2,1,4,1,236000
748,0,0,1,1,4,1,265979
749,1,0,2,0,3,1,260400
750,0,0,2,0,4,1,98000
751,0,0,1,0,3,1,96500
752,0,0,2,1,3,1,162000
753,1,0,2,0,3,1,217000
754,0,0,2,1,3,1,275500
755,1,0,1,0,3,1,156000
756,0,0,2,1,3,1,172500
757,0,0,2,1,3,1,212000
758,0,0,2,1,3,1,158900
759,0,0,2,1,3,1,179400
760,0,0,2,1,4,1,290000
761,0,0,1,0,2,1,127500
762,0,0,1,0,2,1,100000
763,0,0,2,1,3,1,215200
764,1,0,2,1,3,1,337000
765,1,0,1,1,2,1,270000
766,0,0,2,0,2,1,264132
767,0,0,2,1,3,1,196500
768,1,0,2,0,4,1,160000
769,0,0,2,0,3,1,216837
770,1,0,3,1,4,1,538000
771,1,0,1,0,2,1,134900
772,0,0,1,0,2,1,102000
773,1,0,1,0,3,1,107000
774,0,0,1,0,2,1,114500
775,0,0,2,0,3,1,395000
776,1,0,2,0,2,1,162000
777,0,0,2,0,3,1,221500
778,1,0,1,0,3,1,142500
779,0,0,2,0,4,2,144000
780,1,0,1,0,2,1,135000
781,0,0,2,0,3,1,176000
782,0,0,2,1,3,1,175900
783,0,0,2,0,3,1,187100
784,1,0,1,0,1,1,165500
785,0,0,2,0,3,1,128000
786,0,0,2,0,3,1,161500
787,1,0,2,0,4,1,139000
788,1,0,2,1,4,1,233000
789,0,0,1,0,2,1,107900
790,0,0,2,1,5,1,187500
791,0,0,2,0,2,1,160200
792,1,0,1,0,3,1,146800
793,1,0,2,1,3,1,269790
794,0,0,2,0,3,1,225000
795,0,0,2,1,3,1,194500
796,0,0,2,1,3,1,171000
797,0,0,1,1,3,1,143500
798,0,0,1,0,2,1,110000
799,0,0,3,1,4,1,485000
800,1,0,1,1,3,1,175000
801,1,0,2,1,4,1,200000
802,1,0,1,0,2,1,109900
803,1,0,2,1,3,1,189000
804,0,0,3,1,4,1,582933
805,0,0,1,0,2,1,118000
806,0,0,2,0,3,1,227680
807,0,0,2,0,3,1,135500
808,2,0,1,1,3,1,223500
809,1,0,1,0,3,1,159950
810,0,0,2,0,2,3,106000
811,1,0,1,1,3,1,181000
812,1,0,1,0,1,1,144500
813,0,0,1,0,2,1,55993
814,0,0,1,1,4,1,157900
815,0,1,1,1,3,1,116000
816,0,0,2,0,3,1,224900
